project,target,configuration,hash,code,status,start,end
types,build,,12936659849911566214,0,success,1720288048730,1720288053131
export-helpers,build,,5822036088071317464,0,success,1720288053136,1720288059066
react-control-flow,build,,5533543343316493791,0,success,1720288048729,1720288060010
fluent-common-features,build,,347189580673774813,1,failure,1720288048730,1720288076847
fluent-theme,build,,14962737231283361371,0,success,1720288076848,1720288090633
fluent-formik,build,,14757521282087058798,1,failure,1720288059067,1720288092413
utilities,build,,14265776962409124340,0,success,1720288090634,1720288098654
debounce,build,,17257021187282226431,0,success,1720288092413,1720288100162
fluent-input-extensions,build,,4098386696843378780,0,success,1720288060019,1720288100662
pdf-json-helper,build,,61432664179323973,0,success,1720288100163,1720288110638
spfx-core,build,,6507621909912048027,0,success,1720288110639,1720288136242
fluent-react-table-v2,build,,893768761205141265,0,success,1720288098655,1720288149285
fluent-react-hook-form,build,,3602903528071241677,0,success,1720288100667,1720288158613
types,build,,12936659849911566214,0,success,1720288254582,1720288258215
react-control-flow,build,,5533543343316493791,0,success,1720288254581,1720288262958
export-helpers,build,,5822036088071317464,0,success,1720288258217,1720288264635
fluent-common-features,build,,347189580673774813,0,success,1720288254582,1720288276075
fluent-input-extensions,build,,4098386696843378780,0,success,1720288262966,1720288277300
utilities,build,,14265776962409124340,0,success,1720288277304,1720288283380
fluent-theme,build,,14962737231283361371,0,success,1720288276076,1720288285167
fluent-formik,build,,17111346506101950271,0,success,1720288264635,1720288285502
debounce,build,,17257021187282226431,0,success,1720288283380,1720288288699
pdf-json-helper,build,,61432664179323973,0,success,1720288288700,1720288295290
fluent-react-table-v2,build,,893768761205141265,0,success,1720288285168,1720288300015
fluent-react-hook-form,build,,3602903528071241677,0,success,1720288285502,1720288300191
spfx-core,build,,6507621909912048027,0,success,1720288295291,1720288308242
examples,build,production,12816790211472823835,0,success,1720288300195,1720288353954
